日期,投放类型,是否正确分类,频次
2024-05-14,有害垃圾,1,1
2024-02-17,可回收物,1,1
2024-02-04,可回收物,1,1
2024-10-02,有害垃圾,1,1
2024-06-12,其他垃圾,1,1
2024-09-01,其他垃圾,1,1
2024-07-08,可回收物,1,1
2024-02-12,有害垃圾,1,1
2024-11-27,有害垃圾,1,1
2024-12-14,可回收物,1,1
2024-06-12,可回收物,1,1
2024-04-28,其他垃圾,1,1
2024-05-09,有害垃圾,1,1
2024-11-08,有害垃圾,0,1
2024-06-17,有害垃圾,1,1
2024-10-22,其他垃圾,1,1
2024-06-28,有害垃圾,1,1
2024-10-11,厨余垃圾,0,1
2024-09-07,其他垃圾,1,1
2024-06-29,其他垃圾,1,1
2024-09-04,有害垃圾,1,1
2024-04-08,其他垃圾,1,1
2024-02-21,可回收物,1,1
2024-09-03,厨余垃圾,1,1
2024-10-20,可回收物,1,1
2024-12-07,其他垃圾,1,1
2024-10-08,厨余垃圾,1,1
2024-06-14,有害垃圾,1,1
2024-07-21,厨余垃圾,1,1
2024-02-11,厨余垃圾,1,1
2024-04-18,可回收物,1,1
2024-02-28,其他垃圾,1,1
2024-04-26,其他垃圾,1,1
2024-03-26,厨余垃圾,1,1
2024-04-24,可回收物,1,1
2024-07-14,其他垃圾,1,1
2024-08-05,可回收物,1,1
2024-03-22,有害垃圾,0,1
2024-11-19,可回收物,1,1
2024-01-26,可回收物,1,1
2024-04-21,有害垃圾,0,1
2024-10-02,厨余垃圾,1,1
2024-08-23,可回收物,1,1
2024-08-22,厨余垃圾,1,1
2024-05-15,有害垃圾,0,1
2024-08-19,厨余垃圾,0,1
2024-01-25,其他垃圾,1,1
2024-08-14,其他垃圾,1,1
2024-07-28,其他垃圾,0,1
2024-11-25,厨余垃圾,1,1
2024-01-15,有害垃圾,1,1
2024-12-13,可回收物,1,1
2024-09-27,厨余垃圾,1,1
2024-10-17,厨余垃圾,0,1
2024-01-06,厨余垃圾,1,1
2024-03-10,其他垃圾,1,1
2024-09-03,可回收物,0,1
2024-10-14,有害垃圾,0,1
2024-10-02,可回收物,0,1
2024-11-08,可回收物,0,1
2024-01-16,厨余垃圾,0,1
2024-01-06,厨余垃圾,1,1
2024-05-18,厨余垃圾,1,1
2024-02-18,厨余垃圾,1,1
2024-06-16,厨余垃圾,1,1
2024-10-28,有害垃圾,1,1
2024-08-10,其他垃圾,1,1
2024-05-12,其他垃圾,1,1
2024-04-26,厨余垃圾,1,1
2024-08-27,可回收物,1,1
2024-04-29,其他垃圾,1,1
2024-06-11,其他垃圾,1,1
2024-07-24,可回收物,0,1
2024-03-08,其他垃圾,1,1
2024-11-14,厨余垃圾,1,1
2024-04-23,可回收物,1,1
2024-03-08,其他垃圾,1,1
2024-02-06,有害垃圾,0,1
2024-08-20,可回收物,0,1
2024-05-05,其他垃圾,1,1
2024-06-10,其他垃圾,1,1
2024-06-27,厨余垃圾,1,1
2024-08-28,可回收物,1,1
2024-02-16,厨余垃圾,1,1
2024-02-09,可回收物,1,1
2024-02-10,其他垃圾,1,1
2024-04-20,其他垃圾,1,1
2024-02-24,有害垃圾,1,1
2024-03-03,其他垃圾,0,1
2024-04-11,其他垃圾,1,1
2024-09-24,其他垃圾,1,1
2024-09-26,有害垃圾,1,1
2024-10-07,可回收物,1,1
2024-11-25,有害垃圾,0,1
2024-08-14,有害垃圾,1,1
2024-03-25,可回收物,1,1
2024-07-05,有害垃圾,0,1
2024-02-08,可回收物,1,1
2024-02-16,可回收物,1,1
2024-10-09,厨余垃圾,1,1
2024-07-29,有害垃圾,0,1
2024-04-02,厨余垃圾,1,1
2024-01-25,有害垃圾,1,1
2024-07-26,厨余垃圾,1,1
2024-10-07,可回收物,1,1
2024-07-14,厨余垃圾,0,1
2024-11-18,有害垃圾,1,1
2024-06-22,其他垃圾,1,1
2024-02-17,厨余垃圾,0,1
2024-04-16,有害垃圾,1,1
2024-11-28,其他垃圾,1,1
2024-05-30,可回收物,1,1
2024-02-19,其他垃圾,1,1
2024-09-20,有害垃圾,1,1
2024-11-09,可回收物,1,1
2024-11-10,其他垃圾,1,1
2024-08-20,可回收物,1,1
2024-06-17,其他垃圾,1,1
2024-06-18,其他垃圾,0,1
2024-10-08,有害垃圾,1,1
2024-12-23,其他垃圾,1,1
2024-10-27,厨余垃圾,1,1
2024-04-29,有害垃圾,1,1
2024-06-26,厨余垃圾,1,1
2024-03-23,其他垃圾,0,1
2024-01-03,可回收物,1,1
2024-04-05,厨余垃圾,1,1
2024-01-12,可回收物,0,1
2024-01-29,可回收物,1,1
2024-09-21,可回收物,1,1
2024-10-19,可回收物,1,1
2024-05-07,其他垃圾,1,1
2024-12-05,可回收物,1,1
2024-03-31,其他垃圾,1,1
2024-10-07,有害垃圾,1,1
2024-01-12,其他垃圾,1,1
2024-04-11,厨余垃圾,1,1
2024-08-14,可回收物,1,1
2024-10-09,厨余垃圾,1,1
2024-07-15,其他垃圾,1,1
2024-02-28,厨余垃圾,1,1
2024-03-10,有害垃圾,1,1
2024-04-22,其他垃圾,1,1
2024-10-23,有害垃圾,1,1
2024-09-21,可回收物,1,1
2024-10-26,可回收物,1,1
2024-01-14,其他垃圾,1,1
2024-03-29,可回收物,1,1
2024-07-03,其他垃圾,1,1
2024-05-14,厨余垃圾,1,1
2024-04-18,厨余垃圾,1,1
2024-11-03,其他垃圾,1,1
2024-12-13,厨余垃圾,1,1
2024-03-31,可回收物,1,1
2024-12-15,厨余垃圾,1,1
2024-08-24,厨余垃圾,1,1
2024-04-18,其他垃圾,1,1
2024-01-02,厨余垃圾,0,1
2024-07-20,可回收物,0,1
2024-05-13,可回收物,1,1
2024-02-17,有害垃圾,1,1
2024-02-10,其他垃圾,1,1
2024-05-21,可回收物,1,1
2024-09-10,厨余垃圾,1,1
2024-10-06,其他垃圾,0,1
2024-04-19,厨余垃圾,0,1
2024-05-17,厨余垃圾,0,1
2024-01-13,有害垃圾,1,1
2024-02-27,可回收物,0,1
2024-04-03,厨余垃圾,1,1
2024-05-11,厨余垃圾,1,1
2024-11-14,厨余垃圾,1,1
2024-02-09,厨余垃圾,1,1
2024-03-31,厨余垃圾,0,1
2024-06-27,其他垃圾,1,1
2024-05-04,有害垃圾,1,1
2024-03-21,有害垃圾,1,1
2024-02-09,有害垃圾,1,1
2024-09-03,有害垃圾,1,1
2024-12-29,厨余垃圾,0,1
2024-03-14,厨余垃圾,1,1
2024-03-18,厨余垃圾,1,1
2024-05-02,厨余垃圾,1,1
2024-09-25,有害垃圾,0,1
2024-06-15,有害垃圾,1,1
2024-01-26,有害垃圾,1,1
2024-06-08,其他垃圾,1,1
2024-10-08,有害垃圾,1,1
2024-04-22,其他垃圾,0,1
2024-01-17,可回收物,1,1
2024-03-05,其他垃圾,1,1
2024-09-26,其他垃圾,1,1
2024-02-28,其他垃圾,0,1
2024-06-13,厨余垃圾,1,1
2024-11-19,可回收物,0,1
2024-01-21,可回收物,1,1
2024-02-21,厨余垃圾,1,1
2024-07-18,厨余垃圾,0,1
2024-12-13,厨余垃圾,1,1
2024-04-20,厨余垃圾,1,1
2024-01-08,有害垃圾,1,1
2024-05-11,可回收物,1,1
2024-12-27,其他垃圾,1,1
2024-03-31,厨余垃圾,1,1
2024-01-23,厨余垃圾,0,1
2024-04-18,可回收物,1,1
2024-06-23,有害垃圾,1,1
2024-10-04,其他垃圾,0,1
2024-10-18,有害垃圾,1,1
2024-10-13,厨余垃圾,1,1
2024-02-15,厨余垃圾,0,1
2024-05-11,厨余垃圾,1,1
2024-10-18,其他垃圾,1,1
2024-05-17,有害垃圾,1,1
2024-04-19,其他垃圾,1,1
2024-05-27,可回收物,0,1
2024-12-01,厨余垃圾,1,1
2024-10-27,可回收物,1,1
2024-03-25,其他垃圾,0,1
2024-02-04,有害垃圾,1,1
2024-09-08,其他垃圾,0,1
2024-06-04,有害垃圾,1,1
2024-06-30,其他垃圾,1,1
2024-08-21,可回收物,0,1
2024-01-04,有害垃圾,1,1
2024-07-11,有害垃圾,0,1
2024-07-11,有害垃圾,1,1
2024-04-19,其他垃圾,1,1
2024-09-02,有害垃圾,1,1
2024-04-19,其他垃圾,0,1
2024-08-05,其他垃圾,1,1
2024-01-07,有害垃圾,1,1
2024-08-06,厨余垃圾,1,1
2024-11-16,可回收物,1,1
2024-11-24,有害垃圾,1,1
2024-05-27,其他垃圾,1,1
2024-07-11,厨余垃圾,1,1
2024-07-28,其他垃圾,1,1
2024-02-10,厨余垃圾,0,1
2024-06-15,可回收物,1,1
2024-06-15,可回收物,1,1
2024-11-17,其他垃圾,1,1
2024-11-08,其他垃圾,0,1
